Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
23697561104,Fonte Eletrônica 12V 2A 3A 5A e 10A Bivolt 110V 220V Plug P4,"17,89",10mil+,Utilidades K3,33%,"R$5,90",https://shopee.com.br/product/1178605004/23697561104,https://s.shopee.com.br/4qFb586XtN
22499247158,Carregador Portátil Mini Power Bank 10000mAh Com 02 Saídas Tipo-C / Lightning,"32,99",10mil+,SHR ELETRONICOS,28%,"R$9,24",https://shopee.com.br/product/408715442/22499247158,https://s.shopee.com.br/50Z1HR5uYQ
22498946021,Carregador Portátil Mini Power Bank 10000mAh Com 02 Saídas Tipo-C / Lightning,"32,99",20mil+,XQW - ELETRÔNICOS E VARIEDADES,28%,"R$9,24",https://shopee.com.br/product/406969593/22498946021,https://s.shopee.com.br/5AsRTk5HDT
10898393830,Mouse Pad Grande Couro Preto Feltro Costurado Básico,"19,90",8mil+,Next Road,25%,"R$4,98",https://shopee.com.br/product/401435190/10898393830,https://s.shopee.com.br/5LBrg34dsW
22198124723,Tapioqueira Peneira Polvilhador Armazena Tapioca Beiju Farinha Cozinha Utensilio Cores Aleatorias,"20,00",10mil+,SHOP JI,24%,"R$4,80",https://shopee.com.br/product/432628853/22198124723,https://s.shopee.com.br/5VVHsM40XZ
58257841790,Kit 5 Potes Mantimentos Arroz Feijão Café Açúcar Sal Mickey e Minnie,"19,99",409,renova lar,24%,"R$4,80",https://shopee.com.br/product/342166315/58257841790,https://s.shopee.com.br/5foi4f3NCc
23392567785,1/2/3 Peças Borrifador Azeite Pulverizador Premium Culinário Adequado Para Cozinhas 100ml Promoção,"11,88",100mil+,INFINITY COMERCIO DE VARIEDADES,23%,"R$2,73",https://shopee.com.br/product/1003085235/23392567785,https://s.shopee.com.br/5q88Gy2jrf
23193574821,24 Pcs LouçA De Aço InoxidáVel Colher De Sobremesa Dourada / Luxuoso,"45,88",30mil+,NEW WORD MAGAZINE,23%,"R$10,55",https://shopee.com.br/product/1007379684/23193574821,https://s.shopee.com.br/60RYTH26Wi
23095679991,1 Afiador Amolador De Facas Em Aço Inox Com 3 Borda Profissional Base Emborrachado Promoção,"7,85",60mil+,P&H  Oficial,23%,"R$1,81",https://shopee.com.br/product/832040275/23095679991,https://s.shopee.com.br/6Akyfa1TBl
22994846872,kit 21 potes para cozinha,"39,99",7mil+,OLIPLAST DECOR,23%,"R$9,20",https://shopee.com.br/product/1244335516/22994846872,https://s.shopee.com.br/6L4Ort0pqo
58208188640,Potes Plásticos BPA Free Kit 20 Peças Para Mantimentos,"49,99",4mil+,OLIPLAST FULL,23%,"R$11,50",https://shopee.com.br/product/971558182/58208188640,https://s.shopee.com.br/6VNp4C0CVr
19377757579,Temperos Condimentos Sal de Parrilha e Pimenta 100g 50 Opções - P&P,"4,99",40mil+,P&P FIT,23%,"R$1,15",https://shopee.com.br/product/394192376/19377757579,https://s.shopee.com.br/6fhFGUzZAu
23791288990,1 Suporte Apoio De Notebook Laptop Compacto Articulado Home Office Suporte Notebook Preto,"11,99",2mil+,INFINITY COMERCIO DE VARIEDADES,23%,"R$2,76",https://shopee.com.br/product/1003085235/23791288990,https://s.shopee.com.br/6q0fSnyvpx
22998182704,Suporte Para Notebook Base Ajustável Led Refrigerada Ventilação Silenciosa,"55,90",1mil+,MLTX GROUP,23%,"R$12,86",https://shopee.com.br/product/1468001620/22998182704,https://s.shopee.com.br/70K5f6yIV0
22798382567,"Filamento PLA Premium Granito 1kg 1,75mm","119,90",2mil+,F3D Oficial,23%,"R$27,58",https://shopee.com.br/product/1457971359/22798382567,https://s.shopee.com.br/7AdVrPxfA3
22524335600,"Tapete 2,00 X 1,50 Peludo Felpudo 4 Cm Para Casa Sala ou Quarto Antiderrapante Não Solta Pelo","63,88",20mil+,Sara Enxovais,21%,"R$13,41",https://shopee.com.br/product/301986875/22524335600,https://s.shopee.com.br/7Kww3ix1p6
58258835199,Suporte Roteador Parede Sem Furo Fita 3M Organizador WiFi Universal,"13,90",10mil+,imperiomixoficial,21%,"R$2,92",https://shopee.com.br/product/1663899091/58258835199,https://s.shopee.com.br/7VGMG1wOU9
22594464232,Suporte de Mesa para Fone Headset Controle Gamer Universal Elegante Minimalista,"13,90",5mil+,Duplat Arts,21%,"R$2,92",https://shopee.com.br/product/494936870/22594464232,https://s.shopee.com.br/7fZmSKvl9C
19297786542,Xarope Dilute Maçã Verde Zero 500mL Soda Italiana,"33,22",4mil+,aquariumshop,21%,"R$6,98",https://shopee.com.br/product/347533126/19297786542,https://s.shopee.com.br/7ptCedv7oF
58250758831,Kit Tapete Jogo Passadeira Belga Cozinha Antiderrapante Emborrachada 2 Peças,"49,99",7mil+,JK_IMPORTADORA,21%,"R$10,50",https://shopee.com.br/product/1300285107/58250758831,https://s.shopee.com.br/80CcqwuUTI
18931705150,Mini Processador Triturador Sem Fio Elétrico 250ML De Alimentos Para Legumes Alho Gengibre,"23,88",100mil+,RISESHOP_brasil,19%,"R$4,54",https://shopee.com.br/product/832036467/18931705150,https://s.shopee.com.br/8AW33Ftr8L
