Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
22293894480,Tapioqueira 2 em 1 | Peneira + Armazenador de Tapioca | Praticidade Sem Sujeira na Cozinha - BARUCH,"24,90",30mil+,baruchcommerce,13%,"R$3,24",https://shopee.com.br/product/1509818453/22293894480,https://s.shopee.com.br/9fKqq3Dnxc
22994043232,Mini Esfregão sem Lavar Mãos - Esponja Super Absorvente e Design Portátil (Banheiro/Cozinha),"12,88",10mil+,Lecmor store,13%,"R$1,67",https://shopee.com.br/product/1406964673/22994043232,https://s.shopee.com.br/9peH2MDAcf
23694694519,Porta Tempero Giratorio Preto Com 6/9 Potes Vidro Reforçado Premium,"28,90",10mil+,MLS IMPORT,13%,"R$3,76",https://shopee.com.br/product/1252131778/23694694519,https://s.shopee.com.br/9Ki0RRF4da
58255023378,kit 2x meno care original total 120 cápsulas original envio hoje,"54,60",2mil+,Vittasup,13%,"R$7,10",https://shopee.com.br/product/1744036710/58255023378,https://s.shopee.com.br/9V1QdkERId
23793518557,Leitor de Código de Barras 1D USB com Fio e Sensor Automático – Scanner Laser Rápido 2.4GHz,"67,99",4mil+,Oi Vida Oficial,13%,"R$8,84",https://shopee.com.br/product/1333507062/23793518557,https://s.shopee.com.br/qjSJolQsy
55006996925,Kit Potes Herméticos Organizador de Mantimentos Transparente Com Trava BPA Free,"39,90",10mil+,COMPRE TUDO_JA,13%,"R$5,19",https://shopee.com.br/product/368487299/55006996925,https://s.shopee.com.br/gQ27Vm4Dx
10595350968,Capa Impressora Epson L3250 L1250 L3150  L4150 L4160 L6161 L3110 L3210 L4260 Frente Transparente,"19,00",40mil+,Full Capas e Acessórios,13%,"R$2,47",https://shopee.com.br/product/309377042/10595350968,https://s.shopee.com.br/1BMIiQkAD4
22997986282,Tapete De Silicone E Fibra De Vidro Culinário Prático 42x30cm,"19,03",6mil+,HappyShop_,13%,"R$2,47",https://shopee.com.br/product/1312114484/22997986282,https://s.shopee.com.br/112sW7knY3
22798365627,Big Cozinha Completa Kit Fogão Forno Infantil de Brinquedo Sai Agua faz de conta pia menina,"70,90",2mil+,I9 utilidades,13%,"R$9,22",https://shopee.com.br/product/438616931/22798365627,https://s.shopee.com.br/BTlWanyEu
54503015261,"Mix Frutas Tropicais 50g -(7 Frutas): Chips de Banana, Jaca, Mamão, Kiwi, Maçã, Morango e Figo","17,80",10mil+,Produtos Naturais Du Loiro,13%,"R$2,31",https://shopee.com.br/product/959469207/54503015261,https://s.shopee.com.br/1ALKHobZt
22631708065,Centrífuga De Salada Secador Verduras  Manual 4 Litros,"27,05",50mil+,SELLNEEDS,13%,"R$3,52",https://shopee.com.br/product/408653169/22631708065,https://s.shopee.com.br/W6bvCmhZ0
58211909706,Mini Processador de Alimentos Elétrico Triturador de Carne Alho Cebola Legumes Picador Cozinha Portátil 350ML ANJGG BRA,"29,99",3mil+,ANJGG Brazil,13%,"R$3,90",https://shopee.com.br/product/1510737053/58211909706,https://s.shopee.com.br/LnBitnKtz
23394326689,"Forma Modeladora de Hambúrguer – Faça Hambúrguer Caseiro de Forma Fácil, Rápida e Uniforme Simples Cozinha Pratico","18,99",8mil+,DUSKS STORE,13%,"R$2,47",https://shopee.com.br/product/353891630/23394326689,https://s.shopee.com.br/2BEpuGgMBM
22698935480,"Tesoura de Cozinha Multiuso Forte - Corta Osso de Frango e Peixe, Carnes, Legumes, Aço Inoxidável Profissional","32,90",10mil+,MOZA SHOP,13%,"R$4,28",https://shopee.com.br/product/1545554603/22698935480,https://s.shopee.com.br/20vPhxgzWL
58265568247,Pendrive 256GB/ 512GB/ 64GB/128GB USB 2.0 Alta Velocidade Armazenamento Seguro,"28,40",3mil+,BGM二号店,13%,"R$3,69",https://shopee.com.br/product/1677282744/58265568247,https://s.shopee.com.br/2VrgIsf5VS
58205868654,Suporte Metálico Ergonômico para Notebook Tablet e Macbook Base Dobráve-l de Alumínio,"22,80",2mil+,Achadinhos Divertidos ！,13%,"R$2,96",https://shopee.com.br/product/1544990534/58205868654,https://s.shopee.com.br/2LYG6ZfiqR
22494553033,Tábua de Corte Cozinha Em Aço Inoxidável - Dupla Face Segura Para Alimentos e Durável Carne Vegetais Frutas,"26,89",3mil+,CPROMO FAST,13%,"R$3,50",https://shopee.com.br/product/1547949310/22494553033,https://s.shopee.com.br/1Vz972itXI
23297627183,Mata Cupim Domline  Pró Inset Rápido Mata Tudo Sem Cheiro Forte 400ml,"24,95",10mil+,Fermatelhas Material de Construção,13%,"R$3,24",https://shopee.com.br/product/500540118/23297627183,https://s.shopee.com.br/1LfiujjWsH
58200846565,Suporte de Mesa para Tablet 360° Base Ajustável e Dobrável Suporte Ergonômico,"19,89",7mil+,SLX OFFICIAL STORE,13%,"R$2,59",https://shopee.com.br/product/1053212537/58200846565,https://s.shopee.com.br/1qbzVehcrO
23493044824,kit potes tapoer vasilha BOLL  10 peças,"18,80",40mil+,Cristina_Decor,13%,"R$2,44",https://shopee.com.br/product/1027446268/23493044824,https://s.shopee.com.br/1gIZJLiGCN
22194005562,Kit com 20 Temperos e Condimentos Naturais em Sachês Sem conservantes Envio Rápido,"29,80",40mil+,Temperos Nordestino,13%,"R$3,87",https://shopee.com.br/product/869280998/22194005562,https://s.shopee.com.br/3VkDUibHTk
23299194263,KIT 21 POTES VARIADOS PARA COZINHA,"39,99",10mil+,OLIPLAST_,13%,"R$5,20",https://shopee.com.br/product/1017026155/23299194263,https://s.shopee.com.br/3LQnIPbuoj
58260399841,"Prateleira Organizadora Multiuso 2 a 7 Preta Multiuso Moderna e Versátil | Banheiro, Cozinha, Quarto, Lavanderia","22,45",9mil+,Distribuidora Ind.Store,13%,"R$2,92",https://shopee.com.br/product/1612365622/58260399841,https://s.shopee.com.br/3qN3tKa0nq
58261450397,Vinagre de Maçã Orgânico Alvoris 500ML | Orgânico | Não Filtrado | Artesanal,"26,70",1mil+,Alvoris premium,13%,"R$3,47",https://shopee.com.br/product/1838611251/58261450397,https://s.shopee.com.br/3g3dh1ae8p
48909871618,Kit 4 Tinta 544 Impressora L3250 L3210 L5190 L3110,"119,00",2mil+,TintaPrint,13%,"R$15,47",https://shopee.com.br/product/591368776/48909871618,https://s.shopee.com.br/2qUWhUdopg
58257813316,KITOP Fatiador de Couve e Repolho Fininha Corte em Segundos com Praticidade,"19,90",4mil+,Mabê Store,13%,"R$2,59",https://shopee.com.br/product/1002244803/58257813316,https://s.shopee.com.br/2gB6VBeSAf
22692213744,Mouse Com Fio Usb Barato Notebook Computador Pc MF100 Multilaser,"12,85",1mil+,MBC FERRAMENTAS,13%,"R$1,67",https://shopee.com.br/product/844004880/22692213744,https://s.shopee.com.br/3B7N66cY9m
41352394185,8 Em 1 USB Hub Expansor Dock Type C TF Leitor SD Áudio Compatível Com MacBook Pro ipad HP,"23,55",30mil+,Choice Oficial,13%,"R$3,06",https://shopee.com.br/product/1006215031/41352394185,https://s.shopee.com.br/30nwtndBUl
22799025590,Conjunto Bowl Inox Kit Peças Tigela Inox Empilhável 14cm 16cm 20cm 22cm 24cm Gamela Bacia Cozinha,"50,99",3mil+,koala's.shop,13%,"R$6,63",https://shopee.com.br/product/677963913/22799025590,https://s.shopee.com.br/4qFb5AWCm8
19198648197,"Escumadeira Para Fritura Com Pegador Inox 28,5cm","11,99",20mil+,My Panda,13%,"R$1,56",https://shopee.com.br/product/432843460/19198648197,https://s.shopee.com.br/4fwAsrWq77
58206727055,Kit Mouse Sem Fio Recarregavel Para Notebook Rgb + Mouse Pad,"33,99",4mil+,GH-SHOP,13%,"R$4,42",https://shopee.com.br/product/479201578/58206727055,https://s.shopee.com.br/5AsRTmUw6E
22136709580,Cortador Amassador de Feijão Duplo Inox (Estrela),"19,00",2mil+,Pai do Preço,13%,"R$2,47",https://shopee.com.br/product/318982037/22136709580,https://s.shopee.com.br/50Z1HTVZRD
18499884213,Kit Teclado E Mouse Sem Fio Bluetooth Wireless 2.4ghz Notebook Usb Ultra Slim Compacto Android Pc,"79,99",2mil+,HOME BLESS ,13%,"R$10,40",https://shopee.com.br/product/1013362422/18499884213,https://s.shopee.com.br/4AzuHwYk84
21698198981,Kit 5 Palmito Em Conserva Banda Pupunha Premium Selenza Per Tutti,"59,99",3mil+,Mesa Nobre Shop,13%,"R$7,80",https://shopee.com.br/product/1536997921/21698198981,https://s.shopee.com.br/40gU5dZNT3
22098177990,Desk Pad Escritório Couro e Camurça Confortável Antiderrapante 80x40cm + Mouse Pad Couro Brinde,"18,99",10mil+,Badplay Store,13%,"R$2,47",https://shopee.com.br/product/386278293/22098177990,https://s.shopee.com.br/4VckgYXTSA
46853031291,"Mix Frutas Tropicais 100g -(7 Frutas): Chips de Banana, Jaca, Mamão, Kiwi, Maçã, Morango e Figo","17,89",6mil+,Produtos Naturais Du Loiro,13%,"R$2,33",https://shopee.com.br/product/959469207/46853031291,https://s.shopee.com.br/4LJKUFY6n9
23897751770,Fruteira de Mesa Premium 2 Andar 3 Andar  Cesta de Frutas e legumes Armazenamento de Cosméticos ES,"38,80",10mil+,ES Official Shop,13%,"R$5,04",https://shopee.com.br/product/988030305/23897751770,https://s.shopee.com.br/6AkyfcR84W
