Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
22097785703,Amplificador de sinal Wi-Fi repetidor e roteador sem fio rede sem fio através da parede Dupla pressão/2.4G - G8,"60,99",50mil+,JR905,11%,"R$6,71",https://shopee.com.br/product/1217782773/22097785703,https://s.shopee.com.br/2VrgIvr0QJ
22294064656,Kit 5/ kit 10 Potes de Vidro 640ml Hermético Marmita Fit com Tampa 4 Travas Oliver Home,"69,90",40mil+,Oliver Home,11%,"R$7,69",https://shopee.com.br/product/1540426526/22294064656,https://s.shopee.com.br/1ALKL0WUq
22497915927,Mesa Portátil para Notebook Home Office,"39,98",40mil+,CASA FULL,11%,"R$4,40",https://shopee.com.br/product/1278493331/22497915927,https://s.shopee.com.br/BTlWdzt9t
26305544189,openmall Seagate Hd Externo 2TB/4TB Expansão USB 3.0,"64,00",9mil+,openmall.br,11%,"R$7,04",https://shopee.com.br/product/183961712/26305544189,https://s.shopee.com.br/LnBiwzFow
17348949241,Adaptador Wifi Usb Receptor Antena Wireless Pc E Note,"19,80",20mil+,RASPTECH,11%,"R$2,18",https://shopee.com.br/product/393752476/17348949241,https://s.shopee.com.br/W6bvFycTz
23991468840,Cortador de comprimidos pílulas com lâmina diversas cores/OFERTA Cortador De Comprimidos Pílulas Com Lâmina Diversas Cor,"10,00",10mil+,Lily Import,11%,"R$1,10",https://shopee.com.br/product/629513653/23991468840,https://s.shopee.com.br/gQ27Yxz92
19197496222,"Fonte de energia alimentação, Fita Led 12V 3A Bivolt AC/DC Adapter 2,5mm","10,99",9mil+,ZSZ_SHOP,11%,"R$1,21",https://shopee.com.br/product/987393610/19197496222,https://s.shopee.com.br/qjSJrxLo5
58203109462,Cabo Ethernet Vention Cat8 STTP 40 Gbps 2000 MHz Cat 8 RJ45 Cabo De Conexão De Rede LAN Para Computador,"20,99",5mil+,JESDA-05,11%,"R$2,31",https://shopee.com.br/product/1669666744/58203109462,https://s.shopee.com.br/112sWAwiT8
19848647590,Descascador INOX Legumes Frutas Dupla Lâmina Móvel 2 Em 1/Descascador De Legumes Verduras Frutas promoção,"10,39",60mil+,Lily Import,11%,"R$1,14",https://shopee.com.br/product/629513653/19848647590,https://s.shopee.com.br/1BMIiTw58B
23799497097,Cortador Fatiador Ralador Frutas Legumes Verduras Queijos Cozinha 3 Peças Tabletop -U11,"48,99",5mil+,KODI Baby Brasil Oficial,11%,"R$5,39",https://shopee.com.br/product/1721810104/23799497097,https://s.shopee.com.br/40gU5glINk
18997667165,Kit facas de cozinha/Churrasco Profissional Antiaderente 6 Peças Preto/colorido,"19,99",50mil+,ZSZ_SHOP,11%,"R$2,20",https://shopee.com.br/product/987393610/18997667165,https://s.shopee.com.br/4AzuHzkf2n
18850902830,Dispenser Detergente Suporte Para Esponja Bucha 500ml Preto Porta Detergente De Pia Cozinha Arthi,"28,99",20mil+,LOJA DO PRIMO VARIEDADES,11%,"R$3,19",https://shopee.com.br/product/402450553/18850902830,https://s.shopee.com.br/4LJKUIk1hq
55908507055,Mini Prensa Térmica Portátil Sublimação Transfer 110v/220V,"141,67",3mil+,RELAMEX--SHOP,11%,"R$15,58",https://shopee.com.br/product/766258772/55908507055,https://s.shopee.com.br/4VckgbjOMt
58216516604,"kit de Pérola 50g Confeitos de açúcar Sprinkles 100% comestíveis tamanhos P, M, G - Diversas Cores e Opções","10,90",1mil+,Maa Festas e Companhia,11%,"R$1,20",https://shopee.com.br/product/431519848/58216516604,https://s.shopee.com.br/4fwAsuil1w
23997967361,Fonte De Alimentação Bivolt 5v 2a P4 Tv Box Preto 110v/220v Pronta entrega 5w,"15,99",6mil+,HELPLO,11%,"R$1,76",https://shopee.com.br/product/1298416721/23997967361,https://s.shopee.com.br/4qFb5Di7gz
58264696577,Adaptador USB Wi-Fi 6 + Bluetooth 5.4 AX900Mbps – Conexão Ultrarrápida e Estável,"38,50",1mil+,Wynnrong,11%,"R$4,24",https://shopee.com.br/product/991032604/58264696577,https://s.shopee.com.br/50Z1HWhUM2
22394713633,"Mop de mesa multifuncional dobrável, mãos livres, para limpeza de mesas de centro e mesas em algodão","9,99",6mil+,Lucky_Shop Co.,11%,"R$1,10",https://shopee.com.br/product/1617302831/22394713633,https://s.shopee.com.br/5AsRTpgr15
23598720070,Cabo de Rede CAT6 RJ45 Blindado 1000Mbps com Alta Estabilidade 10M/20M/30M (Interno/Externo),"19,99",6mil+,Super mantimentos comprar,11%,"R$2,20",https://shopee.com.br/product/1430771203/23598720070,https://s.shopee.com.br/2gB6VEqN5c
22294547167,Barra de Cereais Nutry Sabores/24 unidades,"34,49",394,docesesfestas98,11%,"R$3,79",https://shopee.com.br/product/750987942/22294547167,https://s.shopee.com.br/2qUWhXpjkf
19497995058,Escova de Limpeza 9 Em 1 Recarregavél Elétrica Giratória Com Cabo Alongador-D10,"79,99",30mil+,JONALISSA SHOP,11%,"R$8,80",https://shopee.com.br/product/1241281618/19497995058,https://s.shopee.com.br/30nwtqp6Pi
22393847115,Caneta 3D Impressora Manual Infantil e Adulto Com Filamentos DIY Filamento Plastico Seguro Para Crianças,"33,80",10mil+,CECILIA_BOA VIDA,11%,"R$3,72",https://shopee.com.br/product/1355121921/22393847115,https://s.shopee.com.br/3B7N69oT4l
58200243202,Jogo de 24 Talheres Com Brinde Suporte Gaveteiro ou Pote Premium Garfo Colher Sortido,"7,99",4mil+,Lojas Amo.,11%,"R$0,88",https://shopee.com.br/product/1482870808/58200243202,https://s.shopee.com.br/3LQnISnpjo
