Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
43256741534,"Pendrive De Metal OTG De Alta Velocidade , 2TB , 1TB , 512GB , 256GB , 128GB , Disco Flash Tipo c , USB2.0 , Duplo , USB","14,50",4mil+,beiledeefy.br,3%,"R$0,44",https://shopee.com.br/product/1172754859/43256741534,https://s.shopee.com.br/70K5fGYG87
58206922903,Filamento PETG e PLA 1Kg 1.75mm MasterPrint Premium Alta Resistência p/ Impressora 3D – Várias Cores,"69,90",6mil+,Bom & Barato SHOP ,3%,"R$2,10",https://shopee.com.br/product/783884789/58206922903,https://s.shopee.com.br/6AkyfjbQoy
20759160783,Teclado Usb Padrão ABNT2 Brasileiro Super Macio Notebook Pc Computador,"24,90",40mil+,KEPEL SUPRIMENTOS,3%,"R$0,75",https://shopee.com.br/product/683934771/20759160783,https://s.shopee.com.br/60RYTQc49x
27928736019,Pen Drive Tipo c/Micro OTG De Alta Velocidade 64GB 128GB 256GB 2TB USB 2.0 512GB 1TB PenDrive Armazenamento Flash 16GB 8,"15,00",4mil+,dwshop,3%,"R$0,45",https://shopee.com.br/product/434752421/27928736019,https://s.shopee.com.br/6VNp4LaA94
58258087449,Mesa Dobrável Notebook Retrátil Home Office Apoio Cama Sofá Trabalho Café,"37,89",20mil+,2 Get & Go ,3%,"R$1,14",https://shopee.com.br/product/1744660455/58258087449,https://s.shopee.com.br/6L4Os2anU3
26644670920,Filamento Impressora 3d Print Pulse PLA 1.75mm Importado Alta Qualidade de Impressao,"79,90",10mil+,PRA EU TUDO,3%,"R$2,40",https://shopee.com.br/product/1316734858/26644670920,https://s.shopee.com.br/5VVHsVdyAu
22394171489,Cabo de Rede para Internet Crimpado RJ45 10/15/20/25/30 Metros,"19,99",9mil+,CRC LTDA,3%,"R$0,60",https://shopee.com.br/product/969373983/22394171489,https://s.shopee.com.br/5LBrgCebVt
22998732448,Porta Escova de Dentes UV com Dispenser de Pasta Dental Suporte Banheiro Sem Furar,"18,98",100mil+,HEXUN SHOP,3%,"R$0,57",https://shopee.com.br/product/1515741369/22998732448,https://s.shopee.com.br/5q88H7chV0
19264814578,Laptop Suporte Base Notebook Tablet Alumínio Dobrável Portátil,"24,90",80mil+,NEWCOOL,3%,"R$0,75",https://shopee.com.br/product/643719371/19264814578,https://s.shopee.com.br/5foi4odKpz
22593793702,Kit Teclado e Mouse Sem Fio Bluetooth  Colorido Compatível com Android iOS e Windows,"41,90",10mil+,LojaZini,3%,"R$1,26",https://shopee.com.br/product/1183719086/22593793702,https://s.shopee.com.br/AAH7R5MChs
22095030981,Repetidor Amplificador de Sinal WiFi 600Mbps Ultra Rápido com Forte Cobertura,"32,99",3mil+,JEHNNY.STORE,3%,"R$0,99",https://shopee.com.br/product/1555286005/22095030981,https://s.shopee.com.br/9zxhEmMq2r
58213373195,"Produto Kit 4 Tinta Para 5 4 4 Preta Original L 3 1 10 L 3 150 L 3 250. Novo Lacrado, Promoçao.","65,90",1mil+,SuperInk,3%,"R$1,98",https://shopee.com.br/product/1499863109/58213373195,https://s.shopee.com.br/AUtxphKw1y
22098341792,"Processador AMD Ryzen 5 5500, 3.6GHz, Cache 16MB, Hexa Core, 12 Threads, AM4 - 100-100000457BOX","639,00",5mil+,TNTinfoLoja,3%,"R$19,17",https://shopee.com.br/product/344381236/22098341792,https://s.shopee.com.br/AKaXdOLZMx
22498752814,Webcam Full Hd 1080p Microfone Pc Notebook Home Office Nova Pronta Entrega,"29,99",20mil+,bombom.store,3%,"R$0,90",https://shopee.com.br/product/1374288201/22498752814,https://s.shopee.com.br/9V1QdrOk3o
22991651660,Chiclete Poosh Escolha o Sabor c/40 - Arcor,"9,80",100mil+,Docemalu,3%,"R$0,29",https://shopee.com.br/product/386620566/22991651660,https://s.shopee.com.br/9Ki0RYPNOn
