Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
58257685425,Kit Higiene Cuidados Bebê Tesoura Cortador Escova Pente Recém Nascido Buba,"37,99",205,QueroObra,43%,"R$16,34",https://shopee.com.br/product/563110312/58257685425,https://s.shopee.com.br/W6bwfyL4B
40953696110,Air31 Sem Fio Bluetooth Fone De Ouvido Binaural Pequeno No Fones Esportes Estéreo Baixo Mais Novos Transparente,"19,86",100mil+,Choice Oficial,8%,"R$1,59",https://shopee.com.br/product/1006215031/40953696110,https://s.shopee.com.br/20vPjQsd1U
58260237454,Alvejante Percarbonato de Sódio Calisul 99% Puro Sem Cloro Limpeza Roupa Branca Colorida Clareador Tira Mancha,"24,99",7mil+,Loja Tio Chico,23%,"R$5,75",https://shopee.com.br/product/1523913267/58260237454,https://s.shopee.com.br/2BEpvjrzgX
23299419158,Porta Frutinhas Em Silicone Ursinho Com Mordedor Buba,"28,90",255,QueroObra,38%,"R$10,98",https://shopee.com.br/product/563110312/23299419158,https://s.shopee.com.br/2LYG82rMLa
47362248435,"Dispensador automático de ração e fonte de água combinados, grande capacidade para armazenamento e distribuição de","55,00",3mil+,Choice Oficial,20%,"R$11,00",https://shopee.com.br/product/1006215031/47362248435,https://s.shopee.com.br/2VrgKLqj0d
23599139039,Sanduicheira Grill Antiaderente Black kian 127V e 220V,"74,90",650,QueroObra,38%,"R$28,46",https://shopee.com.br/product/563110312/23599139039,https://s.shopee.com.br/1LfiwCvANQ
53314685095,Jogo/Kit 4 Toalhas de Banho Grande e Grossa Branca Volume Extra 72x140cm Algodão Premium Luxo,"219,97",18,Coisê Cama Mesa e Banho,49%,"R$107,79",https://shopee.com.br/product/1573388099/53314685095,https://s.shopee.com.br/1Vz98VuX2T
23193984372,Espuma Limpa Estofados a seco Magica Remove sujeira Tecidos Tapetes Sofás Colchoes Carpetes Tetos 300ml kit,"18,99",5mil+,CAMALEAOMAGAZINE,24%,"R$4,56",https://shopee.com.br/product/883610232/23193984372,https://s.shopee.com.br/1gIZKotthW
22692927134,kit 2 brinquedos sendo 1 Lousa 30X20 quadro negro em madeira educação infantil brinquedo escolinha menino menina+RESTA UM,"21,89",1,Pai & Filho ji,7%,"R$1,53",https://shopee.com.br/product/819745829/22692927134,https://s.shopee.com.br/1qbzX7tGMZ
18199332587,"Chaleira Elétrica Inox 1,8L Agratto 127v e 220v","67,90",8mil+,QueroObra,38%,"R$25,80",https://shopee.com.br/product/563110312/18199332587,https://s.shopee.com.br/3LQnJsnYJs
23792415082,bomba de ar portátil mini bomba de pneu elétrica sem fio carro display digital,"169,99",5,Booksy official Store ,7%,"R$11,90",https://shopee.com.br/product/332130069/23792415082,https://s.shopee.com.br/3VkDWBmuyv
58266152545,Lousa Mágica Infantil com Luz LED Neon e Canetas Coloridas,"107,98",0,FunPlay,18%,"R$19,44",https://shopee.com.br/product/1854536034/58266152545,https://s.shopee.com.br/3g3diUmHdy
