Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
43925849403,Top Sutiã Feminino Sem Costura Bordas De Ondas Alça Grossa Sutiã Sem Costura com Bojo Removível,"24,94",30mil+,Total Shop NK3,8%,"R$2,00",https://shopee.com.br/product/810811372/43925849403,https://s.shopee.com.br/5q88IWckqj
23897176041,Fita de LED Mangueira Neon 5 Metros IP65 Flexível Com ou Sem Fonte | 8 Cores,"15,50",80mil+,Goreme Lâmpadas Iluminação e Decor,3%,"R$0,47",https://shopee.com.br/product/979730489/23897176041,https://s.shopee.com.br/5LBrhbeere
23094854145,Filtro Coletor de Pelos Fiapos Flutuante Para Máquina de Lavar Roupa Reutilizável,"11,95",9mil+,CasaTech Oficial,15%,"R$1,79",https://shopee.com.br/product/1532714727/23094854145,https://s.shopee.com.br/5VVHtue1Wh
22591754767,Protetor Para Colchão 100% Impermeavel com Elastico em Toda Volta,"13,90",300mil+,Icasa Ibitinga,13%,"R$1,81",https://shopee.com.br/product/300779622/22591754767,https://s.shopee.com.br/AKaXenLcie
58255069695,Calça Cintura média Versátil - Perfeita para Looks Casuais e Elegantes,"84,99",10mil+,Vmts Femenina,16%,"R$13,60",https://shopee.com.br/product/1641027419/58255069695,https://s.shopee.com.br/AUtxr6KzNh
21897737849,Micro-ondas Philco 25L Função Tira Odor PM27,"809,90",40mil+,Philco Oficial,3%,"R$24,30",https://shopee.com.br/product/811034337/21897737849,https://s.shopee.com.br/9zxhGBMtOc
58215973747,Body Splash Nativa SPA  PROMOÇÃO RELÂMPAGO! mulher sedutora,"19,90",1mil+,OUTLET 011,14%,"R$2,79",https://shopee.com.br/product/1736542321/58215973747,https://s.shopee.com.br/AAH7SUMG3f
22899193666,"OralGos Pacote de Escova de Dentes Super Macia,Nano Cerdas de Super Densidade+6 cores,Capa Protetora","29,90",10mil+,Toya Corp,9%,"R$2,69",https://shopee.com.br/product/1577747933/22899193666,https://s.shopee.com.br/9fKqrZOA4a
22499181960,Kit 2x Magnésio & Inositol Com Melatonina 210g Bodyaction,"107,93",40mil+,Bodyaction Oficial,7%,"R$7,56",https://shopee.com.br/product/443076516/22499181960,https://s.shopee.com.br/9peH3sNWjd
23898553736,Kit 6 Forma de Silicone para Fritadeira Air Fryer com Alça Antiaderente Cozinha Forma de Airfryer Silicone 6 Tamanhos,"14,90",8mil+,Rio Shop Bazar,18%,"R$2,68",https://shopee.com.br/product/1545872929/23898553736,https://s.shopee.com.br/9Ki0SxPQkY
22298168419,Shorts Feminino Skinny Tecido Linho com Cinto Forrado e Bolso,"29,99",1mil+,JVarejo,11%,"R$3,30",https://shopee.com.br/product/1454022416/22298168419,https://s.shopee.com.br/9V1QfGOnPb
20998261945,Extensão Filtro De Linha Segurança 5 Tomadas,"31,99",20mil+,MD LINGERI,7%,"R$2,24",https://shopee.com.br/product/664231577/20998261945,https://s.shopee.com.br/905A4LQhQW
21599248399,Mesa de Cabeceira Retrô Compacta com Nicho para Quarto Sala Casal ou Solteiro Palma,"29,90",600mil+,Eggers Móveis Modulados,3%,"R$0,90",https://shopee.com.br/product/594157579/21599248399,https://s.shopee.com.br/9AOaGeQ45Z
58203079419,"Moedor de Carne Elétrico Multifuncional 3 em 1 para Carne, Legumes e Alimentos – Potente e Fácil de Usar","70,00",7mil+,Dong Sheng Presente LTDA,3%,"R$2,10",https://shopee.com.br/product/794850458/58203079419,https://s.shopee.com.br/8fSJfjRy6U
23293978804,Calça Pantalona De Linho Com Cinto Fake e Cintura Alta e Bolsos,"39,99",10mil+,romeromodasltda,14%,"R$5,60",https://shopee.com.br/product/1483626750/23293978804,https://s.shopee.com.br/8pljs2RKlX
45054396139,Ração úmida Friskies Sabores Variados para Gatos 15x85 g,"39,90",40mil+,LeluPets,21%,"R$8,38",https://shopee.com.br/product/293152127/45054396139,https://s.shopee.com.br/8KpTH7TEmS
