Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
19799070452,Depilador de Cristal Reutilizável Indolor Portátil,"11,00",40mil+,FENG .,7%,"R$0,77",https://shopee.com.br/product/728534865/19799070452,https://s.shopee.com.br/8V8tTSneks
40873387489,Console PlayStation 5 Slim Digital 825GB,"5,0mil",5mil+,NegociuN,3%,"R$150,00",https://shopee.com.br/product/1343318906/40873387489,https://s.shopee.com.br/8KpTH9oI5r
22894944958,Utensílios Silicone Cozinha Antiaderente Fácil Limpeza Alta Resistência,"19,90",2mil+,sprochow,21%,"R$4,18",https://shopee.com.br/product/1653142226/22894944958,https://s.shopee.com.br/8pljs4mO4y
22996121313,Areia Catbio Biodegradável 4 Kg - Max Clean - Grãos Finos,"49,90",400mil+,petpremier,7%,"R$3,49",https://shopee.com.br/product/1023760886/22996121313,https://s.shopee.com.br/8fSJfln1Px
58216282576,"Chocolate Ao Leite Gold 1,01kg Sicao Nobre Barry Callebaut Barra","76,00",1mil+,DOCE_CLICK,6%,"R$4,56",https://shopee.com.br/product/1867089170/58216282576,https://s.shopee.com.br/9AOaGgl7P4
23495148477,3/6/9/12 Peças Varetas de Solda Baixa Temperatura Fusão Fácil para Alumínio Cobre Ferro Aço Inoxidável Kit Reparo,"10,79",2mil+,Bens de consumo diário,6%,"R$0,65",https://shopee.com.br/product/1863467671/23495148477,https://s.shopee.com.br/905A4Nlkk3
20297975696,calça jeans feminina marmorizada com Lycra empina bumbum,"47,99",50mil+,Mhmodas store,11%,"R$5,28",https://shopee.com.br/product/540093765/20297975696,https://s.shopee.com.br/9V1QfIjqjA
22998924968,Bainha Mágica Instantanea Dupla Face (Fita Termocolante) Diversos Tamanhos!,"13,33",60mil+,SHOPCASTELLO,"11,5%","R$1,47",https://shopee.com.br/product/1443345147/22998924968,https://s.shopee.com.br/9Ki0SzkU49
58251896556,"OralGos Escova de Dentes Macia, Cabo Transparente, 6 Cores, Cerdas 0.12mm","26,90",3mil+,Toya Corp,9%,"R$2,42",https://shopee.com.br/product/1577747933/58251896556,https://s.shopee.com.br/9peH3uia3G
23393881853,Tesoura Multifuncional Para Corte Alimentos Legumes Peixes Frangos Verdura,"32,90",20mil+,FUTURO ADA SHOP,13%,"R$4,28",https://shopee.com.br/product/1430462083/23393881853,https://s.shopee.com.br/9fKqrbjDOF
21999714912,Rodo de Silicone Para Limpeza de Piso Vidros Com Gancho Secos e Molhados Uso Duplo Vassoura Mágica,"19,50",100mil+,M Flower,8%,"R$1,56",https://shopee.com.br/product/1210495282/21999714912,https://s.shopee.com.br/AAH7SWhJNM
22092998564,"Creatina Monohidratada Pura 1kg, 500g, 600, 300g e 150g - Dark Lab","32,90",200mil+,Dark Lab Oficial,26%,"R$8,55",https://shopee.com.br/product/1242044379/22092998564,https://s.shopee.com.br/9zxhGDhwiL
22098708423,Sutiã Com Alcinha Alta Sustentação Com Bojo Removível Conforto - Sutia Import,"17,05",50mil+,Kiwi Lingerie,13%,"R$2,22",https://shopee.com.br/product/1403214375/22098708423,https://s.shopee.com.br/AUtxr8g2hS
20199593572,Kit 4 Peças Adesivo Soleira de Porta Carro Modelo Proteção Fibra de Carbono Anti Arranhões Varios Modelos,"12,35",80mil+,F6 Personalizados,23%,"R$2,84",https://shopee.com.br/product/697901648/20199593572,https://s.shopee.com.br/AKaXepgg2R
19397385464,Haste De Limpeza Esgoto Banheiro Cozinha Limpador E Desentupidor Pia Ralo,"10,00",70mil+,Fire Cat,7%,"R$0,70",https://shopee.com.br/product/341157494/19397385464,https://s.shopee.com.br/BTlY9JNfU
23692240341,Alicate de Cutícula Mundial 522C: Precisão e Durabilidade,"22,98",30mil+,Perfumaria Sumirê,6%,"R$1,38",https://shopee.com.br/product/1010974641/23692240341,https://s.shopee.com.br/1ALLqK10T
22298032643,Jogo de Lençol 400 Fios Cama Solteiro Casal Queen King E Berço Micropercal Ponto Palito,"29,99",90mil+,STYLLO CASA ENXOVAIS,13%,"R$3,90",https://shopee.com.br/product/1168608130/22298032643,https://s.shopee.com.br/W6bwlI6za
23399440017,Kit 2PCS Faca de Frutas Faca Cutelo Churrasco Carne de Cozinha Faca para Cortar Churrasco Com Bainha,"13,33",40mil+,Fuxi Store,7%,"R$0,93",https://shopee.com.br/product/1588652179/23399440017,https://s.shopee.com.br/LnBkSIkKZ
23899354882,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"16,79",40mil+,PAPEL.PAPELARIA,7%,"R$1,18",https://shopee.com.br/product/1046010418/23899354882,https://s.shopee.com.br/qjSLNGqJg
58213504334,Adesivo Detox Para os Pés Kit 10 a 50 Foot Patch Natural Relaxamento Bem Estar Uso Noturno Pés Cansa,"10,95",20mil+,UTILIDADES INLUKA 💁🏼‍♀️,14%,"R$1,53",https://shopee.com.br/product/220537615/58213504334,https://s.shopee.com.br/gQ294HTef
58254707193,Cinta Modeladora Feminina com Zíper - Cintura Dupla de Compressão Ajustável para Redução Abdominal e Suporte com Alça,"21,53",10mil+,alvesimportsrj,3%,"R$0,65",https://shopee.com.br/product/1010382626/58254707193,https://s.shopee.com.br/1BMIjzFZdm
58251183437,Avental Resistente a Óleo e Água - Cozinha com Bolsos Frontais Grandes | Babador Ajustável 💧,"16,38",20mil+,Haishop_lampadas,6%,"R$0,98",https://shopee.com.br/product/1351555956/58251183437,https://s.shopee.com.br/112sXgGCyl
58253845008,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"11,99",20mil+, LIMPLUS,5%,"R$0,60",https://shopee.com.br/product/1512948124/58253845008,https://s.shopee.com.br/1Vz98bEIxs
23093960843,Pasta Sanfonada Para Documento Com 12 Divisórias E Pasta Prancheta Tamanho A4 Escritório Escolar,"11,95",100mil+,TOP&CASA,3%,"R$0,36",https://shopee.com.br/product/1397076460/23093960843,https://s.shopee.com.br/1LfiwIEwIr
23798193527,Jogo de Lençol Cama Box 400 Fios Micropercal Toque Macio e Suave com elástico e detalhe em Ponto Palito,"25,90",70mil+,Rhavi Enxovais,7%,"R$1,81",https://shopee.com.br/product/419111099/23798193527,https://s.shopee.com.br/1qbzXDD2Hy
19247856659,Deo Colônia Tabu Flores 60Ml,"12,90",50mil+,Dana Cosmeticos,6%,"R$0,77",https://shopee.com.br/product/436104412/19247856659,https://s.shopee.com.br/1gIZKuDfcx
58256439593,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"16,79",200mil+,Papel fotografico e Papelaria,7%,"R$1,18",https://shopee.com.br/product/761647073/58256439593,https://s.shopee.com.br/2BEpvpBlc4
20499092615,BB Cream/Base/Corretivo com Esponja com Formato de Cogumelo / Base Clareador Maquiagem Creme Clareador Cor Marfim e Natu,"29,99",9mil+,Shopping.de.maquiagem.barato,8%,"R$2,40",https://shopee.com.br/product/305234794/20499092615,https://s.shopee.com.br/20vPjWCOx3
22598956055,Depilador De Cristal Indolor Reutilizável Ferramenta De Beleza Fácil De Limpar Seguro,"10,00",10mil+,ADS-store,3%,"R$0,30",https://shopee.com.br/product/372103398/22598956055,https://s.shopee.com.br/2VrgKRAUwA
53265214599,Kit Protetor de Porta do Carro 4 Peças - Amortecedor Borracha Anti Colisão  4.4,"13,59",20mil+,KL vendas Online,13%,"R$1,77",https://shopee.com.br/product/517658309/53265214599,https://s.shopee.com.br/2LYG88B8H9
23394663745,Varal De Chão 3 Andares Roupa Calcinha Apartamento Grade Dobrável Portátil Com Rodinhas Organização,"79,98",10mil+,RAPPIDO,10%,"R$8,00",https://shopee.com.br/product/1531225861/23394663745,https://s.shopee.com.br/2qUWj39EGG
58206976749,KIT 10 Calcinha Corte a Laser  Não Marca Escolha a Cor Sem Costura Premium Conforto,"16,98",10mil+,Charmosa lingerie ,3%,"R$0,51",https://shopee.com.br/product/1691919396/58206976749,https://s.shopee.com.br/2gB6Wk9rbF
23998547113,Depilador Elétrico Feminino Recarregável Removedor De Pelos Navalha Dupla Sem Fio Portátil Para Pernas Axilas E Corpo,"22,98",40mil+,Jorge.store,7%,"R$1,61",https://shopee.com.br/product/410705973/23998547113,https://s.shopee.com.br/3B7N7f7xaM
21999254940,Mini Lanterna De Mão Pequena Luz Forte Brilhante Recarregável Com Base GT-966,"15,98",20mil+,Cyn Shop,3%,"R$0,48",https://shopee.com.br/product/296745639/21999254940,https://s.shopee.com.br/30nwvM8avL
21297991332,Livro de Colorir Cozy Time Ilustrações Exclusivas 48 Páginas,"4,90",10mil+,speed10oficial,13%,"R$0,64",https://shopee.com.br/product/690193229/21297991332,https://s.shopee.com.br/3VkDWH6guS
29392573808,Whiskas Sachê 85g – 16 Unid +4 Grátis Leve 20,"50,90",10mil+,Pet & Pet,7%,"R$3,56",https://shopee.com.br/product/706961933/29392573808,https://s.shopee.com.br/3LQnJy7KFR
22193566084,Calcinha de Emagrecimento / Cinta Modeladora / Roupa Íntima / Afina a Barriga Leggings Calça Feminina 2024,"29,99",50mil+,PANDA  BOUTIQUE,26%,"R$7,80",https://shopee.com.br/product/1409825975/22193566084,https://s.shopee.com.br/3qN3ut5QEY
58261885368,Elástico Extensor de Exercícios Pull Reducer Multi Função Academia Em Casa Uso Profissional,"19,50",10mil+,5q_c_1vng5,9%,"R$1,76",https://shopee.com.br/product/1840627515/58261885368,https://s.shopee.com.br/3g3dia63ZX
58211625171,Guarda Chuva Automático Sombrinha Grande Proteção Solar Blackout Reforçado Dobrável 10 varetas Envio Imediato colorido,"25,99",10mil+,Tudo Bom Loja,8%,"R$2,08",https://shopee.com.br/product/1789854311/58211625171,https://s.shopee.com.br/4AzuJV49Ye
21034795993,Tapete de Banheiro Antiderrapante Bolinha Macarrão Várias Cores,"16,89",100mil+,MG Enxovais,18%,"R$3,04",https://shopee.com.br/product/322387387/21034795993,https://s.shopee.com.br/40gU7C4mtd
23293555652,Assento Sanitário Tampa Vaso Oval Vision Redondo Injetado Deca Celite Incepa Hervy Roca Icasa Logasa,"19,99",10mil+,Meu Apê Store,3%,"R$0,60",https://shopee.com.br/product/442371100/23293555652,https://s.shopee.com.br/4Vcki72ssk
22898917837,ANA1108 Grande Alicate cortador de unhas Aço,"11,98",10mil+,DAGUAN,7%,"R$0,84",https://shopee.com.br/product/1634417127/22898917837,https://s.shopee.com.br/4LJKVo3WDj
22099046331,1/2 Peças Suporte de Canto e Reta Porta Shampoo Prateleira Para Banheiro Organizador com Adesivo,"11,45",60mil+,Papala Home Store,3%,"R$0,34",https://shopee.com.br/product/629805123/22099046331,https://s.shopee.com.br/4qFb6j1cCq
23398870511,Espelhos Auto Adesivo Acrílico Decorativo 20x30 Retangulares Nanoshop,"16,49",40mil+,Nano Shop Well,11%,"R$1,81",https://shopee.com.br/product/1237985532/23398870511,https://s.shopee.com.br/4fwAuQ2FXp
49859716861,Kit Lençol Fronha Estampada Cama Solteiro Casal Queen King 400 fios Micropercal 03 Peças Ponto Palito,"27,89",30mil+,Enxovais.Store,7%,"R$1,95",https://shopee.com.br/product/289796446/49859716861,https://s.shopee.com.br/5AsRVL0LWw
