Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
11413828100,Torneira Dazie Metais Com Filtro Gourmet Flexivel Carbon Block Agua Pro Saúde Blindado Abs 1/4 de Volta Arejador Parede,"87,90",20mil+,Dazie Metais 02,18%,"R$15,82",https://shopee.com.br/product/344498065/11413828100,https://s.shopee.com.br/6q0fUo66iH
22394347122,Lixa Esfoliadora Elétrica de Pés Tira Calos Portátil USB Pedicure Rápido Indolor Para Pés Lisos,"19,00",1mil+,Ultralar Shop,23%,"R$4,37",https://shopee.com.br/product/1531785174/22394347122,https://s.shopee.com.br/70K5h75TNK
22195697827,Tenis Masculino Polo Elite Casual Dia A Dia Novo Preco Bom Lancamento,"75,90",10mil+,Oldsen Oficial,15%,"R$11,39",https://shopee.com.br/product/329076450/22195697827,https://s.shopee.com.br/7AdVtQ4q2N
23093848660,"Coberdrom Cobertor Solteiro, Casal, Queen E King Colcha Dupla Face Edredrom Luxo Pele Carneiro Premium","89,98",40mil+,Ebenézer ShopCapas,23%,"R$20,70",https://shopee.com.br/product/344896374/23093848660,https://s.shopee.com.br/7Kww5j4ChQ
22997564288,Mesa Projetora Lousa Mágica Infantil Brinquedo de Desenhar Pintar Colorir Acompanha Desenho Projetor,"36,90",6mil+,ToysMart,7%,"R$2,58",https://shopee.com.br/product/300048124/22997564288,https://s.shopee.com.br/7VGMI23ZMT
22793421187,Kit Calças Jeans masculina estica muito costura reforçada envio imediato NF,"139,99",5mil+,OMG JEANS OFICIAL,48%,"R$67,20",https://shopee.com.br/product/892155145/22793421187,https://s.shopee.com.br/7fZmUL2w1W
20297921812,"{ORIGINAL} KIT Carregador Cabo E Fonte Tipo C XR,11,12,13,14 LACRADO","67,12",70mil+,SYANG Sua loja,26%,"R$17,45",https://shopee.com.br/product/1022538008/20297921812,https://s.shopee.com.br/7ptCge2IgZ
23394200396,Kit Sabonete + Hidratante + Esfoliante Rhenuks 200ml Corpo e Rosto 10 fragrâncias,"29,98",20mil+,Vitrine360,18%,"R$5,40",https://shopee.com.br/product/1386679095/23394200396,https://s.shopee.com.br/5LBri3Bol6
22297710968,Máquina Seladora Embalagem A Vácuo Portátil Alimentos 110V Elétrica Embala Conservação + 10 Sacos,"37,89",8mil+,SKY MALL,15%,"R$5,68",https://shopee.com.br/product/392202270/22297710968,https://s.shopee.com.br/5VVHuMBBQ9
22296898313,Óleo de Rosa Mosqueta 100% Puro Natural Kokeshi Reparação e Hidratação 20ml,"39,92",10mil+,KOKESHI OFICIAL,24%,"R$9,58",https://shopee.com.br/product/395166866/22296898313,https://s.shopee.com.br/5foi6fAY5C
