Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
23297589986,Pipoqueira Elétrica Popcorn Maker 110V  Pipoca Sem Óleo,"66,81",7mil+,3XZ STORE,10%,"R$6,68",https://shopee.com.br/product/1053378287/23297589986,https://s.shopee.com.br/4fwAus48bn
5786878341,Pano De Prato Estampado Bainha Kit Com 10 Peças,"35,79",300mil+,Rubber Store,13%,"R$4,65",https://shopee.com.br/product/388739239/5786878341,https://s.shopee.com.br/3B7N879qeW
19999087693,Gummy Night Melatonina em Goma Sabor Framboesa 30 Gomas Auxilia o Sono,"50,15",10mil+,Gummy Original,19%,"R$9,53",https://shopee.com.br/product/843263540/19999087693,https://s.shopee.com.br/30nwvoATzV
22997647570,Escova secador Modeladora Taiff Oval Easy Pink Original,"149,00",7mil+,Beleza Renovada Oficial,16%,"R$23,84",https://shopee.com.br/product/1186779187/22997647570,https://s.shopee.com.br/2qUWjVB7KU
22298259359,Spray Borrifador de Azeite Pulverizador automático para cozinha de vidro água Óleo Vinagre,"13,98",6mil+,Qalix Home,16%,"R$2,24",https://shopee.com.br/product/665367909/22298259359,https://s.shopee.com.br/2gB6XCBkfT
23297356326,"Tapete Sala Antiderrapante 2,00x1,40m Luxo Moderno Decorativo Quarto Escritório","69,90",10mil+,Vitoria Home,3%,"R$2,10",https://shopee.com.br/product/640877443/23297356326,https://s.shopee.com.br/3qN3vL7JIi
51850656052,Percarbonato de Sódio Calisul - Limpeza Versátil e Eficaz,"31,59",3mil+,Lojão do Produtor,13%,"R$4,11",https://shopee.com.br/product/1162622362/51850656052,https://s.shopee.com.br/3g3dj27wdh
23698798330,"Ventilador Branco Umidificador  Portátil USB com Ajuste de Intensidade, Luz LED, Alça de Transporte","49,90",121,BNVT Variedades,16%,"R$7,98",https://shopee.com.br/product/1258878023/23698798330,https://s.shopee.com.br/3VkDWj8Zyg
22193096832,Água Micelar MELU 100 ML ou 200 ML RUBY ROSE,"19,99",1mil+,Lemmi Store,21%,"R$4,20",https://shopee.com.br/product/1010063584/22193096832,https://s.shopee.com.br/3LQnKQ9DJf
58259857226,Glúteo Max Brava Nutra – Fórmula Avançada para Desempenho e Estética Muscular Envio Imediato !!,"24,89",428,Brava Nutra,22%,"R$5,48",https://shopee.com.br/product/1021749095/58259857226,https://s.shopee.com.br/1qbzXfEvMO
51252477980,SACHÊ MÁSCARA FACIAL PEEL OFF LIMPEZA PROFUNDA E REVITALIZAÇÃO DA PELE 10G UNISSEX,"3,00",30mil+,DOSE DE AMOR.,28%,"R$0,84",https://shopee.com.br/product/427273294/51252477980,https://s.shopee.com.br/1gIZLMFYhN
21499762177,Lousa Mágica Caneta Magnética Prancheta Infantil Educativo Autismo Cartelas Desenho,"39,49",6mil+,ToyLandia Baby,11%,"R$4,34",https://shopee.com.br/product/1502681481/21499762177,https://s.shopee.com.br/1Vz993GC2M
23694215749,Conjunto Potes de Vidro com Tampa Bambu Cristal Porta Mantimentos Cozinha 3 Peças,"80,96",2mil+,Oliveira e Lima,13%,"R$10,52",https://shopee.com.br/product/1571166082/23694215749,https://s.shopee.com.br/1LfiwkGpNL
58207706280,Ferro de Passar Roupas Portátil Dobrável Pequeno Bivolt para Casa Viagem Dormitório e Escritório,"32,99",4mil+,ANJGG Brazil,13%,"R$4,29",https://shopee.com.br/product/1510737053/58207706280,https://s.shopee.com.br/2VrgKtCO0a
18299245246,Luminária Lousa Recado 3D Tela Acrílico Escrever Placa Mensagem Com Marcador E Pano De Limpeza,"19,99",10mil+,Mundo Master Atacado,10%,"R$2,00",https://shopee.com.br/product/1046470373/18299245246,https://s.shopee.com.br/2LYG8aD1LZ
23993044456,Rodo Spray Limpa E Seca Vidros 3 Em 1 250ml Multiuso MOP Limpador,"24,96",20mil+,VIVI HOME ,8%,"R$2,00",https://shopee.com.br/product/400269328/23993044456,https://s.shopee.com.br/2BEpwHDegY
18199723451,Espelho Lopazzi Grande Corpo Inteiro Decorativo Polido Moderno 90x40cm Quarto Sala Banheiro,"79,99",3mil+,Loja Lopazzi,18%,"R$14,40",https://shopee.com.br/product/1248180593/18199723451,https://s.shopee.com.br/20vPjyEI1X
23193574821,24 Pcs LouçA De Aço InoxidáVel Colher De Sobremesa Dourada / Luxuoso,"45,88",30mil+,NEW WORD MAGAZINE,23%,"R$10,55",https://shopee.com.br/product/1007379684/23193574821,https://s.shopee.com.br/W6bxDK04G
23697998466,Fita LED À Prova D'água 5m 2835 120/M Tubo Flexível De Silicone 12v Ip65 Decoração De Natal De Néon,"28,79",6mil+,Ym Comercial,8%,"R$2,30",https://shopee.com.br/product/762281166/23697998466,https://s.shopee.com.br/LnBkuKdPF
23928101038,Trio de Vasos Cachepot com Suporte Para Cactos ou Suculentas,"37,91",20mil+,Prismaa,21%,"R$7,96",https://shopee.com.br/product/495134429/23928101038,https://s.shopee.com.br/BTlYbLGkE
23093817162,Protetor Térmico Ultra Liso Brilho e Antifrizz 120mL,"29,95",20mil+,Phinna Professional,28%,"R$8,39",https://shopee.com.br/product/1485978180/23093817162,https://s.shopee.com.br/1ALMILu5D
22995887563,Roupão Plush Microfibra Adulto Extra Macio Unissex Várias Cores Tamanho Único,"46,80",30mil+,GBBM SUPER STORE,13%,"R$6,08",https://shopee.com.br/product/695401829/22995887563,https://s.shopee.com.br/1BMIkRHSiS
23497309877,Espremedor Elétrico Laranja Limão Frutas Fazer Sucos Recarregável Usb Cozinha,"61,69",80mil+,BIG MO,19%,"R$11,72",https://shopee.com.br/product/807597901/23497309877,https://s.shopee.com.br/112sY8I63R
23392997431,Aspirador de Pó Doméstico 3 em 1 Sem Fio Limpeza Sucção USB,"78,59",8mil+,SLX 123,14%,"R$11,00",https://shopee.com.br/product/1232649860/23392997431,https://s.shopee.com.br/qjSLpIjOQ
23399292930,"Kit com 3 Óleos de Tratamento Coco, Super Óleos e Multibenefícios","46,78",100mil+,Salon Line,18%,"R$8,42",https://shopee.com.br/product/616222685/23399292930,https://s.shopee.com.br/gQ29WJMjP
27471259298,Kit 4 Capas de Almofada Suede Drapeada 43x43cm Decorativas Sofá Sala Quarto,"48,90",20mil+,Vitoria Home,3%,"R$1,47",https://shopee.com.br/product/640877443/27471259298,https://s.shopee.com.br/9peH4MkT8C
22098563972,Medidor de Pressão Digital de Pulso com Voz Monitor Inteligente Automático Aferidor de Pressão Arterial,"41,99",208,JIMMY.STORE,8%,"R$3,36",https://shopee.com.br/product/1127030290/22098563972,https://s.shopee.com.br/9fKqs3l6TB
58260699869,Percarbonato de Sódio - Tira Mancha Sem Cloro - TEM VARIAÇÃO,"14,80",10mil+,SDL COSMETICOS,21%,"R$3,11",https://shopee.com.br/product/1068759438/58260699869,https://s.shopee.com.br/9V1QfkljoA
22397905118,Mesa Dobrável para Notebook,"37,68",40mil+,Cozinha em Casa,12%,"R$4,52",https://shopee.com.br/product/448670448/22397905118,https://s.shopee.com.br/9Ki0TRmN99
58203349505,Porta Frios Duplo Preto para Presunto e Queijo Com Fundo Removível Para Conservar e Organizar a Geladeira Hermetico,"17,89",50mil+,Vip  Todo Dia,13%,"R$2,33",https://shopee.com.br/product/1567241054/58203349505,https://s.shopee.com.br/AUtxrahvmO
20199713818,Monitor De Pressão Arterial De Pulso Recarregável Alta XYY-2551,"39,89",20mil+,Isabela Top,13%,"R$5,19",https://shopee.com.br/product/415175805/20199713818,https://s.shopee.com.br/AKaXfHiZ7N
23294707562,Porta Chaves Organizador com Prateleira Decorativa – Design Moderno em MDF | Branco + Freijó | Freijó + Branco | Branco,"38,35",5mil+,TECHLLINE 888,26%,"R$9,97",https://shopee.com.br/product/785559676/23294707562,https://s.shopee.com.br/AAH7SyjCSM
23593106216,"Kit 2 Espelhos Redondos Adnet 50cm com Alça de Couro com Suporte Decorativo para Banheiro, Sala, Quarto, Lavabo e Hall","134,70",7mil+,Outlet dos Espelhos,13%,"R$17,51",https://shopee.com.br/product/408999524/23593106216,https://s.shopee.com.br/9zxhGfjpnL
18099033551,Kit de Nutrição Para Cabelos Cacheados - Meu Cacho Definido GLATTEN,"49,99",5mil+,Glatten Cosméticos,38%,"R$19,00",https://shopee.com.br/product/973550274/18099033551,https://s.shopee.com.br/8V8tTupXq4
20846672583,Clareador de Virilha e Axila Creme Clareador Partes Intimas - Clear Beauty Original,"24,99",80mil+,Corpus,23%,"R$5,75",https://shopee.com.br/product/768604265/20846672583,https://s.shopee.com.br/8KpTHbqBB3
57415367709,Potes de Vidro Natalinos 300mL - Porta Biscoitos Porta Doces Bomboniere Decoração de Natal com Tampa Decorada,"37,90",840,Rizzo Distribuidora,8%,"R$3,03",https://shopee.com.br/product/400124163/57415367709,https://s.shopee.com.br/8AW35IqoW2
23998879589,Kit Renovadores Kokeshi Pele Porcelana Óleo de Rosa Mosqueta,"90,32",10mil+,KOKESHI OFICIAL,26%,"R$23,48",https://shopee.com.br/product/395166866/23998879589,https://s.shopee.com.br/80CcszrRr1
22394361184,"Prancheta de desenho infantil apagável, brinquedos artesanais luminosos, quadro negro, conjunto educacional infantil, br","29,99",1mil+,BRILHO SHOPPING,7%,"R$2,10",https://shopee.com.br/product/1607485448/22394361184,https://s.shopee.com.br/9AOaH8n0UG
23892669902,3L Picador De Alimentos Moedor De Carne Mixer Elétrica Processador Cozinha Casa Alho - 110v-220v,"66,88",100mil+,Mercado Estelar,8%,"R$5,35",https://shopee.com.br/product/720952207/23892669902,https://s.shopee.com.br/905A4pndpF
22293894480,Tapioqueira 2 em 1 | Peneira + Armazenador de Tapioca | Praticidade Sem Sujeira na Cozinha - BARUCH,"24,90",30mil+,baruchcommerce,13%,"R$3,24",https://shopee.com.br/product/1509818453/22293894480,https://s.shopee.com.br/8pljsWoHAE
25155478447,"MEDICUBE zero pore pad 2.0,zero pore pad mild 3types(original pad/refill)","144,98",50mil+,koksara.kbeauty,20%,"R$29,00",https://shopee.com.br/product/457864097/25155478447,https://s.shopee.com.br/8fSJgDouVD
11913057310,Prancha Chapinha Alisadora de Cabelo Taiff Cerâmica 180ºC Preta 110V/220V Bivolt,"137,99",3mil+,EU SOU SHOP,13%,"R$17,94",https://shopee.com.br/product/418231105/11913057310,https://s.shopee.com.br/7AdVtSucXw
21699840214,"Clareador De Axilas, Virilhas, Corporal e Íntimo - Clear Beauty","23,99",30mil+,Vision Express,3%,"R$0,72",https://shopee.com.br/product/1220447560/21699840214,https://s.shopee.com.br/70K5h9vFsv
22191854349,Peixonix ômega 3 Mastigável Sabor Cereja 60 Caps Maxinutri,"64,00",2mil+,Aranutri Suplementos,18%,"R$11,52",https://shopee.com.br/product/1035578588/22191854349,https://s.shopee.com.br/6q0fUqvtDu
22694435815,Alvejante Percarbonato de Sódio 100% Puro Tira Mancha Roupa Branca e Colorida Calisul,"36,90",4mil+,LM  SHOP,13%,"R$4,80",https://shopee.com.br/product/443675790/22694435815,https://s.shopee.com.br/6fhFIXwWYt
19597106871,Kit 6 Cesto Em Silicone Antiaderente Air Fryer Reutilizável Protetor Microondas Panela Forno Cesta,"14,48",50mil+,A bazarshop,12%,"R$1,74",https://shopee.com.br/product/371135946/19597106871,https://s.shopee.com.br/7ptCggs5C8
23197986857,Cabideiro De Parede Arara Com Nicho 1 Metro- 65,"141,99",379,MoveisKZA,33%,"R$46,86",https://shopee.com.br/product/779134443/23197986857,https://s.shopee.com.br/7fZmUNsiX7
23391852937,Kit 3 Pote Colageno + Ácido Hialuronico 216g Mega Oferta + Frete Gratis,"79,00",10mil+,vivendo de net,19%,"R$15,01",https://shopee.com.br/product/936342834/23391852937,https://s.shopee.com.br/7VGMI4tLs6
58200422555,Kit 11 De Frascos Para Viagem Conjunto Multifuncional Peças Creme Cosméticos Viagem -S1,"19,99",40mil+,Rio Sol ,11%,"R$2,20",https://shopee.com.br/product/1654637312/58200422555,https://s.shopee.com.br/7Kww5ltzD5
21749998832,Relógio Inteligente Smartwatch Serie 10 Tela 45mm Com Película Feminino Masculino - Fere Fit,"139,90",2mil+,ACA Store,23%,"R$32,18",https://shopee.com.br/product/370062047/21749998832,https://s.shopee.com.br/5q88J0zhFo
40830814218,Aspirador De Pó Vertical 2 Em 1 Portátil Gaabor 650w,"134,99",3mil+,BUMPER MAGAZINE,9%,"R$12,15",https://shopee.com.br/product/342086228/40830814218,https://s.shopee.com.br/5foi6i0Kan
51151005582,Kit 2 Areia Higiênica Natural Biodegradável Grãos Mistos de Milho e Mandioca para Gatos Kadi 8 kg,"67,89",322,BinhoPets,11%,"R$7,47",https://shopee.com.br/product/744168154/51151005582,https://s.shopee.com.br/5VVHuP0xvm
21499250769,Mini Lâmpada De Mesa LED Alimentada Por Bateria Livro De Leitura com Clipe De suporte Luz Ajustável Portátil.,"12,99",100mil+,Folha Verde,13%,"R$1,69",https://shopee.com.br/product/461628122/21499250769,https://s.shopee.com.br/5LBri61bGl
22592854431,NIVEA Lenços de Limpeza Facial Ação Hidratante 3 em 1 - Pacote com  25 Unidades,"20,99",1mil+,NIVEA OFICIAL,3%,"R$0,63",https://shopee.com.br/product/502619181/22592854431,https://s.shopee.com.br/6VNp6Ex9u0
22692967213,"Poltrona Decorativa Pétala luxo Tecido Veludo Pés Palito Sala, quarto e recepção.","344,44",3mil+,Mercado dos Móveis,14%,"R$48,22",https://shopee.com.br/product/981371054/22692967213,https://s.shopee.com.br/6L4OtvxnEz
23199471101,NOVO Robôt Aspirador Xiaomi S40 Bivolt 10000Pa | Mapeamento Laser LDS | Passa Pano App Alexa | Super Potente,"1,4mil",468,Paraná Acessórios,7%,"R$97,29",https://shopee.com.br/product/602219106/23199471101,https://s.shopee.com.br/6AkyhcyQZy
58214638410,Lixeira Retrátil 15L 8L Tampa Click Antiodor Compacta para Banheiro Cozinha Quarto Branca Bege,"58,00",644,Ultralar Shop,23%,"R$13,34",https://shopee.com.br/product/1531785174/58214638410,https://s.shopee.com.br/60RYVJz3ux
58202483323,Fone Bluetooth Sem Fio De Ouvido  TWS Macaron Headphone Fone de Ouvido Envio Imediato,"39,54",1mil+,ModajdFeminina,21%,"R$8,30",https://shopee.com.br/product/217896078/58202483323,https://s.shopee.com.br/4LJKWG5PIe
22092998564,"Creatina Monohidratada Pura 1kg, 500g, 600, 300g e 150g - Dark Lab","32,90",200mil+,Dark Lab Oficial,26%,"R$8,55",https://shopee.com.br/product/1242044379/22092998564,https://s.shopee.com.br/4VckiZ4lxh
22999163516,Kit Utensílios de Cozinha 19 Peças • Silicone com Cabo de Madeira • Completo e Resistente,"27,43",6mil+,MORAI UTILIDADES,13%,"R$3,57",https://shopee.com.br/product/1081447826/22999163516,https://s.shopee.com.br/40gU7e6fyc
22392870690,Kit Cozinha Infantil de Brinquedo Modelo Novo Eletrodomésticos Utensílios C/ 6 peças Acessórios,"59,99",10mil+,Amoritta Kids,16%,"R$9,60",https://shopee.com.br/product/417728659/22392870690,https://s.shopee.com.br/4AzuJx62df
18797734380,Jogo Taças Vidro Diamond Bico Jaca Abacaxi Conjunto Taça Para Água Vinho Tinto Suco Diamante,"14,89",10mil+,Larsul,13%,"R$1,94",https://shopee.com.br/product/372753581/18797734380,https://s.shopee.com.br/50Z1JU2rwq
58202344032,"Robô Aspirador 3 em 1 Varre, Aspira e limpar  - Limpeza Automática Inteligente e Silenciosa","51,99",8mil+,Y&C SHOP,10%,"R$5,20",https://shopee.com.br/product/1045254970/58202344032,https://s.shopee.com.br/5AsRVn2Ebt
23092969675,"【OFERTA RELÂMPAGO】Afiador de Facas 3 Estágios | Material Aprimorado, Afiação Simples e Rápida para Cozinha e Tesouras","10,99",90mil+,M G SHOP,13%,"R$1,43",https://shopee.com.br/product/1096453915/23092969675,https://s.shopee.com.br/4fwAus48co
